0071	6210
0071	6247
0134	6055
0480	4219
0527	4175
0528	3594
0544	9301
0544	9339
0544	9526
0544	9527
0546	1722
0546	1736
0546	1849
0547	56
0547	62
0548	2463
0548	2503
0548	3301
0548	3493
0548	3571
0548	3610
0548	3639
0548	3643
0548	3755
0548	3864
0548	5825
0548	5922
0548	9162
0549	2908
0549	3424
0549	3482
0549	3559
0549	3684
0549	3795
0549	3980
0549	5775
0549	5891
0549	6586
0549	7862
0549	8617
0549	9318
0549	9356
0550	278
0550	1392
0550	1477
0550	1488
0550	1556
0550	1651
0550	1785
0550	2067
0550	2310
0550	2314
0550	7702
0550	8590
0551	309
0551	4127
0551	6809
0551	9489
0551	9623
0551	9636
0552	65
0552	747
0552	748
0552	855
0552	4331
0552	4372
0552	4755
0552	9355
0553	606
0553	607
0553	701
0554	5914
0554	7553
0554	7772
0554	8553
0555	4232
0555	4240
0555	4271
0555	4312
0556	6999
0556	7041
0556	7612
0556	7753
0556	8119
0556	8208
0557	34
0557	37
0557	116
0557	1688
0557	1785
0557	2184
0557	2472
0557	2658
0557	3209
0557	3387
0557	3720
0557	3728
0557	3775
0557	3795
0557	3854
0557	3908
0557	3935
0557	3977
0557	4137
0557	7874
0557	7882
0557	8569
0557	8612
0557	8771
0557	8809
0557	8869
0557	9369
0558	43
0558	101
0558	112
0558	143
0558	183
0558	191
0558	197
0558	199
0558	203
0558	334
0558	386
0558	425
0558	436
0558	461
0558	547
0558	549
0558	682
0558	1141
0558	2651
0558	2652
0558	3034
0558	3035
0558	3754
0558	3802
0558	3994
0558	4252
0558	4285
0558	4380
0558	4407
0558	4422
0558	4463
0558	4551
0558	4568
0558	7275
0558	7493
0558	7567
0558	7605
0558	7649
0558	7816
0558	8343
0558	8720
0558	8746
0558	8763
0559	751
0559	773
0559	781
0559	1118
0559	1130
0559	1227
0559	1629
0559	2760
0559	2834
0559	2879
0559	4931
0559	4935
0559	5194
0559	6908
0559	6934
0559	7750
0559	7988
0559	9620
0559	9650
0559	9741
0560	33
0560	67
0560	713
0560	786
0560	1751
0560	1786
0560	1802
0560	1804
0560	1830
0560	1856
0560	1858
0560	1877
0560	1878
0560	1894
0560	1909
0560	1914
0560	2829
0560	2920
0560	3916
0560	9120
0560	9264
0562	1410
0562	2676
0562	5992
0562	5994
0562	6275
0562	6429
0562	7555
0562	7636
0563	2838
0563	2849
0563	6981
0563	7004
0563	7018
0563	7049
0563	7059
0563	7232
0563	7349
0563	9176
0563	9571
0563	9572
0563	9578
0565	1469
0565	6643
0565	6776
0565	7504
0565	7505
0565	7690
0566	152
0566	261
0566	3490
0569	596
0570	841
0570	1202
0570	5387
0570	7291
0570	8871
0571	1333
0571	1798
0571	1975
0571	1993
0571	2115
0571	2294
0571	2341
0571	2349
0571	2428
0571	2433
0571	2438
0571	2634
0571	2816
0571	3623
0571	3720
0572	3316
